task,run_name,layer,weight_module_count,weight_max_abs_max,weight_p999_abs_mean,weight_top_0p1pct_abs_share_mean,activation_module_count,activation_max_abs_max,activation_ratio_abs_gt_6p0_mean,activation_ratio_abs_gt_8p0_mean,activation_max_abs_over_abs_mean_mean
ner,formal_e3_ms256_tner,18,6,5.443109035491943,0.11374516536792119,0.005003218331949353,7,48.415775299072266,0.0006110361644199915,0.0003927963120596749,87.20965058046764
ner,formal_e3_ms256_tner,19,6,5.364895343780518,0.11368582397699356,0.005001611305085801,7,88.56568145751953,0.000359809398651123,0.0001508300645010812,57.94499887124717
ner,formal_e3_ms256_tner,20,6,5.015675067901611,0.11918284371495247,0.0056008581573426365,7,77.04229736328125,0.0001336043221609933,7.505144391741071e-05,37.191394846654376
ner,formal_e3_ms256_tner,21,6,5.687290668487549,0.11754801000157993,0.005514719466811031,7,68.22381591796875,0.00014515910829816548,8.442027228219169e-05,77.39002863425681
ner,formal_e3_ms256_tner,22,6,6.944497585296631,0.12892652799685797,0.006298385073860095,7,49.113426208496094,5.495071411132813e-05,3.609997885567802e-05,51.38171545260888
ner,formal_e3_ms256_tner,23,6,1.3010631799697876,0.11790451531608899,0.00468680855305844,7,18.12515640258789,5.067927496773856e-05,2.8156893593924384e-05,19.355425959176866
semeval,formal_e10_ms256,0,6,2.807807207107544,0.11759347344438235,0.005826205327887792,7,112.32719421386719,0.01960062676052045,0.002775744970944147,67.62814974334562
semeval,formal_e10_ms256,1,6,1.7175002098083496,0.11276875684658687,0.005550806529545881,7,92.61822509765625,0.00535907258001631,0.0007671301927023787,75.74429017866883
semeval,formal_e10_ms256,2,6,1.5459328889846802,0.11129519591728847,0.005330058187190733,7,89.9694595336914,0.0011523210213159434,0.0005831076016132563,82.57010355416033
semeval,formal_e10_ms256,3,6,0.6129252910614014,0.11605444798866908,0.005185281859279251,7,80.69282531738281,0.000654925591161996,0.0005518656297566306,74.82172437607355
semeval,formal_e10_ms256,4,6,3.236762046813965,0.11590892945726712,0.005148235024733814,7,78.2566146850586,0.0008239203352269119,0.0006951687643336918,81.69162108841475
semeval,formal_e10_ms256,5,6,3.13091778755188,0.11637427285313606,0.005139189601732754,7,66.5551986694336,0.0007671185625277882,0.0002693160762631796,69.48892988753113
semeval,formal_e10_ms256,6,6,3.6082699298858643,0.11563577502965927,0.005089757421398864,7,84.11333465576172,0.0010538898693975255,0.0004136958327166018,72.4861193868975
semeval,formal_e10_ms256,7,6,2.8339340686798096,0.11375089113910992,0.0050540368542787446,7,66.2763900756836,0.0009542912694773745,0.0003551246120262367,116.68685474994133
semeval,formal_e10_ms256,8,6,2.3393678665161133,0.11268919457991917,0.005052336704308134,7,72.4850845336914,0.0006770899348419579,0.0005456202260016288,68.14036463985997
semeval,formal_e10_ms256,9,6,2.747281551361084,0.1189146414399147,0.005328989362594575,7,67.74235534667969,0.0006309596780562097,0.0005627481502661443,71.19303670503187
semeval,formal_e10_ms256,10,6,4.295158863067627,0.12068633611003558,0.005412572779996633,7,62.8317756652832,0.0007007767237575766,0.0005834481995834014,68.86663909323066
semeval,formal_e10_ms256,11,6,5.5221357345581055,0.12117162471016248,0.0051286472960232095,7,81.03578186035156,0.0007444264304485609,0.0006017380336712739,74.37569341781446
semeval,formal_e10_ms256,12,6,4.977874279022217,0.12196217601497968,0.00517510432486635,7,79.02835845947266,0.000711204006004555,0.0005896099768449205,64.61363173053915
semeval,formal_e10_ms256,13,6,4.617459774017334,0.11967452491323154,0.005075884441856196,7,82.46220397949219,0.0007862917360666875,0.0006028141017297972,56.83660198917835
semeval,formal_e10_ms256,14,6,3.1577348709106445,0.1190728930135568,0.005052600368420732,7,75.46985626220703,0.0007372849494322668,0.0006066908265932372,48.86714809628371
semeval,formal_e10_ms256,15,6,2.648373603820801,0.11673384283979733,0.0050761008765289875,7,47.975196838378906,0.0004959411045123199,0.00026335699633023464,36.65850694516245
semeval,formal_e10_ms256,16,6,1.2595657110214233,0.11650299032529195,0.005010722557670989,7,60.93766784667969,0.0006576210225777621,0.00034649945302292034,38.85421113550927
semeval,formal_e10_ms256,17,6,4.458637237548828,0.11535288393497467,0.005059324397460807,7,50.98367691040039,0.000485355430363778,0.0003118110727626964,37.5567620550975
semeval,formal_e10_ms256,18,6,5.446828365325928,0.11380936950445175,0.0050037263610610075,7,41.61482238769531,0.0003240426935246874,0.00018003122593329205,30.576276522203578
semeval,formal_e10_ms256,19,6,5.368412971496582,0.1137256237367789,0.005001501995875659,7,32.306785583496094,5.5784409331389286e-05,1.5529052167265533e-05,22.9952507457054
semeval,formal_e10_ms256,20,6,5.018165111541748,0.11917138720552127,0.005595531916350419,7,28.221637725830078,6.337337516049198e-05,4.436025497666912e-05,19.903919695994496
semeval,formal_e10_ms256,21,6,5.689544200897217,0.11764577279488246,0.005512850413628516,7,61.303401947021484,7.393800423120373e-05,4.2482812507088876e-05,21.221114203031956
semeval,formal_e10_ms256,22,6,6.950843811035156,0.12891937916477522,0.006296788842002215,7,34.746673583984375,4.240361655630716e-05,3.3108891787290846e-05,16.307960262703066
semeval,formal_e10_ms256,23,6,1.3004435300827026,0.11803606525063515,0.004687172142296309,7,10.067569732666016,2.540805475498603e-05,5.5298711087784e-06,11.605430605245475
