task,run_name,layer,module,module_name,shape,numel,mean,std,abs_mean,max_abs,p99_abs,p999_abs,p9999_abs,top_0p1pct_abs_share,top_1pct_abs_share,max_abs_over_abs_mean,p999_abs_over_p99_abs,ratio_abs_gt_3p0sigma,ratio_abs_gt_4p0sigma,ratio_abs_gt_5p0sigma,top_out_channel,top_out_channel_max_abs,median_out_channel_max_abs,top_in_channel,top_in_channel_max_abs,median_in_channel_max_abs,top_out_channel_over_median,top_in_channel_over_median
ner,formal_e3_ms256_tner,20,attn_out,attention.output.dense,1024x1024,1048576,-2.898626235037227e-06,0.030292190611362457,0.024096155539155006,0.2196660041809082,0.0786954015493393,0.10221228748559952,0.12312471121549606,0.004619570363756882,0.03698896631823461,9.116226189026806,1.2988343089083287,0.0032062530517578125,0.000125885009765625,1.1444091796875e-05,143,0.2196660041809082,0.1048046424984932,173,0.2196660041809082,0.1036154255270958,2.0959568101581607,2.120012566309104
ner,formal_e3_ms256_tner,20,attn_q,attention.self.query,1024x1024,1048576,2.581000080681406e-05,0.037483278661966324,0.029725652188062668,0.43573638796806335,0.09786446392536163,0.13048070669174194,0.20393070578575134,0.0052802373910306,0.03806076372853713,14.658598075874949,1.3332797366698474,0.0034961700439453125,0.00036525726318359375,0.00014400482177734375,302,0.43573638796806335,0.13382741808891296,91,0.43573638796806335,0.12849929928779602,3.2559575174540583,3.390963144414956
ner,formal_e3_ms256_tner,20,attn_v,attention.self.value,1024x1024,1048576,4.876379534834996e-06,0.031941525638103485,0.025192927569150925,0.22087644040584564,0.08517953753471375,0.11478230357170105,0.14945518970489502,0.00511976757995172,0.038958155426661784,8.767398699479127,1.3475337727082999,0.004382133483886719,0.000385284423828125,4.863739013671875e-05,584,0.22087644040584564,0.11210296303033829,148,0.22087644040584564,0.1132700964808464,1.9702997533265032,1.9499978129107987
ner,formal_e3_ms256_tner,20,ffn_in,intermediate.dense,4096x1024,4194304,1.2360127584543079e-05,0.032536283135414124,0.025902805849909782,0.47841504216194153,0.08406472951173782,0.10863509774208069,0.1423899531364441,0.00484801619308231,0.03690047974456193,18.469622361919058,1.2922791564673046,0.0028846263885498047,0.00016736984252929688,6.842613220214844e-05,318,0.47841504216194153,0.1101347878575325,370,0.47841504216194153,0.13267919421195984,4.343904877547018,3.605803042469915
ner,formal_e3_ms256_tner,20,ffn_out,output.dense,1024x4096,4194304,-2.8605842089746147e-05,0.0336139015853405,0.0257393978536129,5.015675067901611,0.08552218973636627,0.12955723702907562,0.3204638659954071,0.008625073871636866,0.04239902692967388,194.8637297743773,1.514896162369712,0.0033996105194091797,0.000888824462890625,0.0005419254302978516,314,5.015675067901611,0.1286819726228714,318,5.015675067901611,0.1313486248254776,38.97729391047698,38.185973203495045
ner,formal_e3_ms256_tner,21,attn_k,attention.self.key,1024x1024,1048576,-6.436790499719791e-06,0.03839050605893135,0.030559323728084564,0.3318454623222351,0.09958555549383163,0.12901908159255981,0.15710455179214478,0.004637563731180224,0.036840165753487114,10.859057787894148,1.295560193973626,0.0030641555786132812,0.00012683868408203125,1.430511474609375e-05,756,0.3318454623222351,0.1320083737373352,18,0.3318454623222351,0.13162705302238464,2.5138213048706097,2.521103790615149
ner,formal_e3_ms256_tner,21,attn_out,attention.output.dense,1024x1024,1048576,-5.9048543334938586e-06,0.0307762511074543,0.02447494864463806,0.1973959505558014,0.08003395050764084,0.10375923663377762,0.12489745020866394,0.004637961965980988,0.036956215399248454,8.065224300237567,1.296440272854852,0.0030698776245117188,0.00012493133544921875,1.1444091796875e-05,929,0.1973959505558014,0.1065433993935585,826,0.1973959505558014,0.10517200827598572,1.8527281059115122,1.8768867666557003
ner,formal_e3_ms256_tner,21,attn_q,attention.self.query,1024x1024,1048576,-3.128404205199331e-05,0.03852968290448189,0.03063671849668026,0.31922033429145813,0.10016603767871857,0.13055968284606934,0.17703674733638763,0.00487510976283203,0.037260191429175755,10.419534139273052,1.303432639162967,0.0032196044921875,0.000244140625,6.198883056640625e-05,503,0.31922033429145813,0.1346045881509781,314,0.31922033429145813,0.13096728920936584,2.3715412578166157,2.4374050667044713
ner,formal_e3_ms256_tner,21,attn_v,attention.self.value,1024x1024,1048576,1.0028938959294464e-06,0.03115542232990265,0.02462228760123253,0.20499801635742188,0.08279521763324738,0.11033155024051666,0.14003536105155945,0.005005551554052163,0.038562623732978085,8.325709604137684,1.33258361285123,0.004149436950683594,0.00030422210693359375,3.62396240234375e-05,435,0.20499801635742188,0.10927129536867142,148,0.20499801635742188,0.1099010482430458,1.8760463639218077,1.865296279104358
ner,formal_e3_ms256_tner,21,ffn_in,intermediate.dense,4096x1024,4194304,5.195439371163957e-06,0.03309104964137077,0.02619057148694992,1.3996803760528564,0.08494735509157181,0.11031965166330338,0.24559780955314636,0.005761132546748599,0.03783109590841476,53.44214717690604,1.2986825963490054,0.0027909278869628906,0.00023365020751953125,0.0001456737518310547,698,1.3996803760528564,0.1115163266658783,143,1.3996803760528564,0.20181193947792053,12.551349366506079,6.935567735356857
ner,formal_e3_ms256_tner,21,ffn_out,output.dense,1024x4096,4194304,-5.779486400570022e-06,0.033243563026189804,0.02542172186076641,5.687290668487549,0.08388365060091019,0.12129885703325272,0.3072776198387146,0.008170997240072177,0.041456287624513824,223.71775993918018,1.4460369352587112,0.0030341148376464844,0.0007231235504150391,0.0004241466522216797,314,5.687290668487549,0.12634342908859253,698,5.687290668487549,0.12170689553022385,45.01453466566589,46.729403816525796
ner,formal_e3_ms256_tner,22,attn_k,attention.self.key,1024x1024,1048576,2.0479799786699004e-05,0.03895352780818939,0.031040655449032784,0.21597875654697418,0.10061938315629959,0.12943384051322937,0.15475806593894958,0.0045316219942303625,0.036534275787474514,6.957931571438644,1.2863708408167254,0.0029277801513671875,9.250640869140625e-05,4.76837158203125e-06,93,0.21597875654697418,0.13328883051872253,235,0.21597875654697418,0.13266095519065857,1.6203815106370563,1.6280506667283705
ner,formal_e3_ms256_tner,22,attn_out,attention.output.dense,1024x1024,1048576,1.1645078302535694e-05,0.03123413771390915,0.02487407624721527,0.25921356678009033,0.08095312863588333,0.10403082519769669,0.12505242228507996,0.004567061068967381,0.03668992145373639,10.421032893999836,1.285074795139961,0.0029783248901367188,0.00010204315185546875,6.67572021484375e-06,929,0.25921356678009033,0.10691719502210617,65,0.25921356678009033,0.10737638175487518,2.4244329148973223,2.414065016381699
ner,formal_e3_ms256_tner,22,attn_q,attention.self.query,1024x1024,1048576,-1.687780059000943e-05,0.03927633911371231,0.031205082312226295,0.3714384436607361,0.10195674002170563,0.1358487457036972,0.2165067046880722,0.00530641871913743,0.037754965483703586,11.903139365064414,1.3324155487393603,0.0032682418823242188,0.00039196014404296875,0.000148773193359375,603,0.3714384436607361,0.13861864805221558,314,0.3714384436607361,0.13275393843650818,2.679570525899378,2.7979466977424767
ner,formal_e3_ms256_tner,22,attn_v,attention.self.value,1024x1024,1048576,1.2292516657907981e-06,0.03118017688393593,0.02470962516963482,0.2159382402896881,0.08178506791591644,0.10787166655063629,0.1334000825881958,0.004822938278345521,0.0377102555737166,8.73903342552725,1.3189652989166627,0.0035419464111328125,0.00020313262939453125,2.47955322265625e-05,143,0.2159382402896881,0.10911952704191208,983,0.2159382402896881,0.10872920602560043,1.9789147382094836,1.9860187357465406
ner,formal_e3_ms256_tner,22,ffn_in,intermediate.dense,4096x1024,4194304,4.0244551200885326e-05,0.03339732810854912,0.026507830247282982,0.9287474155426025,0.08588298410177231,0.11137355118989944,0.2220076024532318,0.0054393077648023725,0.03745426536736006,35.03671959864757,1.2968057916795315,0.002810955047607422,0.000213623046875,0.000133514404296875,3158,0.9287474155426025,0.11252418160438538,929,0.9287474155426025,0.18124425411224365,8.253758457074676,5.124286119257794
ner,formal_e3_ms256_tner,22,ffn_out,output.dense,1024x4096,4194304,1.0234566616418306e-06,0.03370172902941704,0.025244299322366714,6.944497585296631,0.08344327658414841,0.18500053882598877,0.5024682283401489,0.013122962617677507,0.04782692746144192,275.0917146329244,2.2170814282373597,0.003192424774169922,0.0014162063598632812,0.001117706298828125,314,6.944497585296631,0.12172293663024902,3158,6.944497585296631,0.21535758674144745,57.05167635243261,32.246356816925186
ner,formal_e3_ms256_tner,23,attn_k,attention.self.key,1024x1024,1048576,-1.558382973598782e-05,0.03991910070180893,0.03179774060845375,0.3170281648635864,0.10316559672355652,0.13351620733737946,0.1611449420452118,0.004592912603165949,0.03662782912261657,9.970147526120183,1.2941931378068865,0.0029649734497070312,0.000118255615234375,1.430511474609375e-05,53,0.3170281648635864,0.13695143163204193,314,0.3170281648635864,0.13639318943023682,2.3148948578746564,2.324369465865023
