phase	budget	seed	strategy	major	f1_micro	acc	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	bop_error_vs_uniform	relative_bop_error_vs_uniform	within_2pct_uniform_bop	probing_minus_major	probing_minus_f1	run_name
pilot	boundary	20260806	random_s29	0.9606153814890401	0.9238216987656391	0.997409064212441	0.004038566659701059	-0.007125247738371421	-0.013818554049710996	-0.00012733228837572344	-0.030565380956853818	False	0.002851105039843649	0.0055325697172556865	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_random_s29_fixedseed20260806_cal16_dep_e3_retry1
pilot	boundary	20260807	uniform	0.9693078842858618	0.9406671339628088	0.9979486346089148	0.004029763350520038	0.0	0.0	0.0	0.0	True	-0.005216033834466893	-0.01010205301428746	ptq_oa_w4a4_dualout8_boundaryrefine_w0p070_a0p350_fixedseed20260807_cal16_ms256_dep_e3_retry1
pilot	boundary	20260807	probing	0.9640918504513949	0.9305650809485213	0.9976186199542684	0.003780501522926315	-0.005216033834466893	-0.01010205301428746	-0.0002492618275937229	-0.061855202380942755	False	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_probing_fixedseed20260807_cal16_dep_e3_retry1
pilot	boundary	20260807	inverse	0.9279105157713122	0.8602666069228184	0.995554424619806	0.004468073528822441	-0.04139736851454956	-0.08040052703999034	0.00043831017830240314	0.1087682179267027	False	0.036181334680082666	0.07029847402570288	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_inverse_fixedseed20260807_cal16_dep_e3_retry1
pilot	boundary	20260807	early	0.9301058675836493	0.8645340005361452	0.9956777346311534	0.003950151873430825	-0.03920201670221246	-0.07613313342666361	-7.961147708921302e-05	-0.01975586905839997	True	0.03398598286774557	0.06603108041237615	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_early_fixedseed20260807_cal16_dep_e3_retry1
pilot	boundary	20260807	late	0.9639749576894852	0.930352678663664	0.9975972367153064	0.004479382767873327	-0.00533292659637663	-0.010314455299144765	0.00044961941735328914	0.11157464551740144	False	0.00011689276190973708	0.00021240228485730483	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_late_fixedseed20260807_cal16_dep_e3_retry1
pilot	boundary	20260807	random_s29	0.9510568928723816	0.9052649623931258	0.9968488233516374	0.0038803591651598553	-0.01825099141348019	-0.03540217156968295	-0.00014940418536018261	-0.03707517597550787	False	0.013034957579013295	0.02530011855539549	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_random_s29_fixedseed20260807_cal16_dep_e3_retry1
pilot	boundary	20260808	uniform	0.9677485513329158	0.93764968205467	0.9978474206111615	0.004395714934098577	0.0	0.0	0.0	0.0	True	-0.004784162477314946	-0.009271810707690453	ptq_oa_w4a4_dualout8_boundaryrefine_w0p070_a0p350_fixedseed20260808_cal16_ms256_dep_e3_retry1
pilot	boundary	20260808	probing	0.9629643888556009	0.9283778713469796	0.9975509063642222	0.0041148371941240065	-0.004784162477314946	-0.009271810707690453	-0.0002808777399745709	-0.06389807896679953	False	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_probing_fixedseed20260808_cal16_dep_e3_retry1
pilot	boundary	20260808	inverse	0.932647031076969	0.8694801875680601	0.9958138745858779	0.004851290981710017	-0.035101520255946816	-0.06816949448660992	0.00045557604761144004	0.10364094452018062	False	0.03031735777863187	0.05889768377891946	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_inverse_fixedseed20260808_cal16_dep_e3_retry1
pilot	boundary	20260808	early	0.9423998903200141	0.8884370695874598	0.9963627110525686	0.004247207222237837	-0.025348661012901674	-0.049212612467210204	-0.00014850771186074047	-0.03378465484845976	False	0.020564498535586728	0.03994080175951975	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_early_fixedseed20260808_cal16_dep_e3_retry1
