task	budget	seed	strategy	major	f1_micro	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	delta_major_vs_probing	delta_f1_vs_probing	relative_bop_error_vs_uniform_pct	run_name
ner	boundary	20260806	uniform	0.9727753646655739	0.9508773554331219	0.0048647628668976595	0.0	0.0	-0.0017113492535056896	-0.003106414393510337	0.0	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260806_cal16_ner_e3
ner	boundary	20260806	probing	0.9744867139190796	0.9539837698266322	0.004860819201666368	0.0017113492535056896	0.003106414393510337	0.0	0.0	-0.08106592940276824	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260806_cal16_ner_e3
ner	boundary	20260806	fisher	0.972876132416761	0.951063829787234	0.004889752671791647	0.00010076775118705861	0.00018647435411212054	-0.001610581502318631	-0.0029199400393982167	0.513690092975172	ptq_fisher_w4a4_out8_boundary_fisher_bopfix2_fixedseed20260806_cal16_ner_e3
ner	boundary	20260806	probefisher	0.9746556286854358	0.9542964974455747	0.004797565516533365	0.0018802640198618548	0.003419142012452747	0.0001689147663561652	0.00031272761894240997	-1.3813078294430348	ptq_fisher_w4a4_out8_boundary_probefisher_bopfix2_fixedseed20260806_cal16_ner_e3
ner	boundary	20260806	late	0.974484145507724	0.9539987145349371	0.004723212597598622	0.0017087808421500927	0.003121359101815213	-2.5684113555968224e-06	1.4944708304875931e-05	-2.9097054300882497	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260806_cal16_ner_e3
ner	boundary	20260807	uniform	0.963225038751752	0.9335037152728477	0.004595745914907504	0.0	0.0	-0.00826626919441753	-0.01504650509365657	0.0	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260807_cal16_ner_e3
ner	boundary	20260807	probing	0.9714913079461696	0.9485502203665043	0.00447288629798788	0.00826626919441753	0.01504650509365657	0.0	0.0	-2.6733335391997404	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260807_cal16_ner_e3
ner	boundary	20260807	fisher	0.954530535565612	0.9176459256405317	0.004654147494989416	-0.008694503186140068	-0.01585778963231599	-0.0169607723805576	-0.03090429472597256	1.2707747809223013	ptq_fisher_w4a4_out8_boundary_fisher_bopfix2_fixedseed20260807_cal16_ner_e3
ner	boundary	20260807	probefisher	0.9690037252894668	0.944026889500957	0.004493396139918787	0.005778686537714739	0.010523174228109333	-0.0024875826567027914	-0.004523330865547237	-2.227054691094188	ptq_fisher_w4a4_out8_boundary_probefisher_bopfix2_fixedseed20260807_cal16_ner_e3
ner	boundary	20260807	late	0.9748639853535879	0.9546730477198472	0.00448858601628075	0.011638946601835842	0.021169332446999478	0.003372677407418312	0.006122827353342908	-2.331719390298592	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260807_cal16_ner_e3
ner	boundary	20260808	uniform	0.962080278550221	0.9314250509454528	0.0050397907911457615	0.0	0.0	-0.0014166214904260954	-0.0025822238431532085	0.0	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260808_cal16_ner_e3
ner	boundary	20260808	probing	0.9634969000406471	0.934007274788606	0.004911995353446317	0.0014166214904260954	0.0025822238431532085	0.0	0.0	-2.53572902121183	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260808_cal16_ner_e3
